"cruise","station","cruise_station","decimalLatitude","decimalLongitude","decimalLongitude_flag","time_UTC","time_local","date","region","average_depth","FishNum","forkLength","abbrevName_fish","uniqueIdentifierFish","scientificName_fish","scientificNameID_fish","vernacularName","preyTaxon","scientificName_preyTaxon","scientificNameID_preyTaxon","preyCount"
201402,255,"201402-255",42.5502133333333,-67.0085283333333,1,08:42:41,"03:42:00",2014-05-14,"GoM",315,212,278,"S. scombrus","201402_255_212_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,450
201402,70,"201402-70",40.5013083333333,-70.8271233333333,1,19:10:43,"14:10:00",2014-04-11,"SNE",78,226,263,"S. scombrus","201402_70_226_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,1
201402,70,"201402-70",40.5013083333333,-70.8271233333333,1,19:10:43,"14:10:00",2014-04-11,"SNE",78,228,234,"S. scombrus","201402_70_228_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,7
201402,182,"201402-182",41.339215,-69.3283083333333,1,20:21:26,"15:21:00",2014-04-23,"GoM",79,236,214,"S. scombrus","201402_182_236_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,1
201402,116,"201402-116",39.689,-73.642,1,23:01:50,"18:01:00",2014-04-16,"MAB",35,350,275,"S. scombrus","201402_116_350_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,1080
201402,116,"201402-116",39.689,-73.642,1,23:01:50,"18:01:00",2014-04-16,"MAB",35,351,273,"S. scombrus","201402_116_351_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,2180
201402,54,"201402-54",38.3996916666667,-73.9458533333333,1,19:20:35,"14:20:00",2014-04-02,"MAB",61,356,221,"S. scombrus","201402_54_356_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,93
201402,54,"201402-54",38.3996916666667,-73.9458533333333,1,19:20:35,"14:20:00",2014-04-02,"MAB",61,358,238,"S. scombrus","201402_54_358_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,130
201402,79,"201402-79",40.1607033333333,-71.5666216666667,1,19:01:58,"14:01:00",2014-04-12,"SNE",86,419,283,"S. scombrus","201402_79_419_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,20
201402,79,"201402-79",40.1607033333333,-71.5666216666667,1,19:01:58,"14:01:00",2014-04-12,"SNE",86,420,252,"S. scombrus","201402_79_420_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,10
201404,113,"201404-113",40.94842,-71.05502,1,03:21:56,"22:21:00",2014-09-24,"SNE",50,457,154,"P. triacanthus","201404_113_457_P_triacanthus","Peprilus triacanthus",172567,"Atlantic butterfish","Centropages spp.","Centropages",85761,2
201404,113,"201404-113",40.94842,-71.05502,1,03:21:56,"22:21:00",2014-09-24,"SNE",50,474,95,"P. triacanthus","201404_113_474_P_triacanthus","Peprilus triacanthus",172567,"Atlantic butterfish","Centropages spp.","Centropages",85761,1
201404,412,"201404-412",42.0476666666667,-67.1843333333333,1,12:30:28,"07:30:00",2014-11-06,"GB",53,513,280,"S. scombrus","201404_412_513_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,40
201404,412,"201404-412",42.0476666666667,-67.1843333333333,1,12:30:28,"07:30:00",2014-11-06,"GB",53,514,289,"S. scombrus","201404_412_514_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,20
201404,412,"201404-412",42.0476666666667,-67.1843333333333,1,12:30:28,"07:30:00",2014-11-06,"GB",53,515,284,"S. scombrus","201404_412_515_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,40
201404,116,"201404-116",40.53971,-71.6567083333333,1,12:03:18,"07:03:00",2014-09-24,"SNE",74,600,86,"P. triacanthus","201404_116_600_P_triacanthus","Peprilus triacanthus",172567,"Atlantic butterfish","Centropages spp.","Centropages",85761,2
201404,440,"201404-440",42.9265783333333,-70.497065,1,01:13:49,"20:13:00",2014-11-10,"GoM",104,614,198,"S. scombrus","201404_440_614_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,95
201504,288,"201504-288",41.8133333333333,-67.585,1,15:57:03,"10:57:00",2015-10-12,"GB",26.8,626,275,"S. scombrus","201504_288_626_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,2
201504,411,"201504-411",43.845,-68.5816666666667,1,23:31:27,"18:31:00",2015-11-02,"GoM",58.2,627,178,"S. scombrus","201504_411_627_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,10
201504,411,"201504-411",43.845,-68.5816666666667,1,23:31:27,"18:31:00",2015-11-02,"GoM",58.2,628,179,"S. scombrus","201504_411_628_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,9
201504,365,"201504-365",42.0933333333333,-70.3116666666667,1,11:53:55,"06:53:00",2015-10-28,"GoM",33.4,630,271,"S. scombrus","201504_365_630_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,17150
201504,365,"201504-365",42.0933333333333,-70.3116666666667,1,11:53:55,"06:53:00",2015-10-28,"GoM",33.4,631,315,"S. scombrus","201504_365_631_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,341
201504,297,"201504-297",41.9633333333333,-67.5866666666667,1,17:44:49,"12:44:00",2015-10-13,"GB",24.9,633,282,"S. scombrus","201504_297_633_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,20
201504,297,"201504-297",41.9633333333333,-67.5866666666667,1,17:44:49,"12:44:00",2015-10-13,"GB",24.9,634,271,"S. scombrus","201504_297_634_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,1
201504,171,"201504-171",40.53,-70.4,1,22:32:07,"17:32:00",2015-09-16,"SNE",35.8,641,157,"A. pseudoharengus","201504_171_641_A_pseudoharengus","Alosa pseudoharengus",161706,"Alewife","Centropages spp.","Centropages",85761,1
201504,295,"201504-295",41.9333333333333,-67.8183333333333,1,12:20:18,"07:20:00",2015-10-13,"GB",32.3,642,160,"S. scombrus","201504_295_642_S_scombrus","Scomber scombrus",172414,"Atlantic mackerel","Centropages spp.","Centropages",85761,5
